Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,5774.757811,6928.585901,8566.367928,10117.37036,10975.32211,12046.1231,12516.70238,13218.32139,14374.65887,14476.11672,14559.53066,15636.1001,16895.90694,16912.13995,18248.93639,17924.2653,16894.47662,18140.29818,19503.28028,16199.59485,20567.52698,19423.42895,23229.61361,21289.6466,19741.1498,19960.52121,21038.15112,20841.48947,21891.5039,21961.09881,21368.80489,21385.45166,,
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,149.7910921,152.7543445,130.0118462,137.2274944,166.003331,177.1324174,187.1627488,212.3794719,234.5106388,259.9033344,255.6325114,248.7739804,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.8943993,477.3070093,517.448448,554.7792155,550.9567007,529.8764023,502.2764104,465.8415828,466.0790814,,
Angola,AGO,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,414.0920146,441.4909119,354.9446075,326.2240288,527.8561095,439.0652229,530.1576843,-18.4632597,17.26555481,-37.48974177,89.37688822,77.07961238,131.9045362,168.7711783,42.29762718,4.330681382,109.2443352,357.7990213,437.003981,440.7527975,563.9345955,856.9122101,819.6949892,367.194821,735.3808047,1108.338717,1494.240377,1789.733615,2113.866121,2498.701951,2341.460543,1949.11468,2148.272969,,
Albania,ALB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,510.4381381,507.9101337,599.9942998,565.0279355,550.3551341,576.5500571,519.6297075,279.5424317,159.614863,330.7906664,541.0558443,708.5006122,966.090951,675.3824291,772.5489378,981.6758479,1074.702633,1223.107257,1343.238986,1743.114101,2232.469483,2500.857583,2808.973837,3333.99614,3961.899406,3622.330148,3530.690656,3853.165353,3644.843103,3937.277061,4038.014865,3560.787907,3776.111694,4105.150515,,
Andorra,AND,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1351.741588,1476.898089,1478.187281,1367.979693,1340.005984,1324.337064,1267.077082,1274.950724,1240.992325,1228.585712,1642.330558,1591.675197,1718.135527,1683.779919,1649.209737,1739.28632,1857.7109,1938.215049,1892.053206,1958.773685,2078.525199,2061.574139,2060.358257,2221.165421,2513.89649,2925.217915,3402.880771,3956.793176,4790.969646,4223.658162,4792.279065,5416.623552,5905.729634,5951.00243,6035.7295,5445.677217,5294.685363,5247.986414,,
United Arab Emirates,ARE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30680.29376,28940.37785,28249.24826,29500.4259,32307.05429,33402.25584,35940.37152,36627.75152,37339.6362,27355.86388,30537.81694,34564.77824,36057.06658,38070.0702,39332.03139,35654.47478,35465.40518,37374.46062,,
Argentina,ARG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1197.105438,1306.380569,1301.463458,1975.987228,2656.889361,1901.849448,1792.741168,1948.931203,1952.946775,2234.043859,2418.427559,2408.182688,2476.983697,3019.680036,2257.130734,2480.580423,3170.336505,3097.146074,3490.218593,1925.583135,3715.738145,5094.716164,6183.897764,6352.534074,6793.724836,6624.194746,6884.77695,7141.263663,7212.586919,6654.636436,6542.999691,6089.740055,1977.682054,2675.967837,3176.814458,3794.102817,4893.936048,6111.502302,7607.623017,6956.11565,8810.359213,11008.52459,11250.02138,11255.02138,10607.40646,12003.35116,11006.02931,12365.9013,,
Armenia,ARM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.7698877,,,539.6928013,606.0007642,682.8307838,815.8586964,1047.8719,1475.613727,1959.746874,2886.893681,3742.40779,2723.946831,2918.101653,3138.262966,3274.122578,3509.206422,3587.530469,3181.176422,3084.605658,3412.080148,,
American Samoa,ASM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
